round,stagnation_round,phase,runtime,objective,status,bdc,generic2,lc,negative,ng,p,pc1,saf,sc2,sc3,toh,valh,varh
1,1,probing,4.038967957996647,5099,ExitStatus.FEASIBLE,1,True,2,V,RST,AC,True,False,Bits,Matrix3D,False,First,Wdeg
2,2,probing,4.014530583997839,,ExitStatus.UNKNOWN,10,False,10,STR0,NO,GT,False,True,MDD,Matrix3D,False,Conflicts,RunRobin
3,3,probing,4.023681457998464,,ExitStatus.UNKNOWN,100,True,10,STR0,RST,BT,True,True,Matrix2D,MDD,True,Conflicts,FrbaOnDom
4,2,probing,4.035869917002856,5099,ExitStatus.FEASIBLE,10,False,1,STR0,RST,AC,False,True,Matrix2D,Table,False,Last,Memory
5,1,probing,0.8840037920017494,0,ExitStatus.FEASIBLE,10,False,5,V,NO,GT,True,True,Bits,Tries,True,Vals,FrbaOnDom
6,2,probing,4.067621333000716,5112,ExitStatus.FEASIBLE,100,False,10,V,RST,AP,False,True,Bits,Bits,True,Vals,RunRobin
7,3,probing,4.025627750001149,,ExitStatus.UNKNOWN,1000,True,5,STR1,RST,GT,False,False,Matrix3D,Tries,False,Rand,Activity
8,4,probing,1.2754327919974457,5890,ExitStatus.FEASIBLE,10,True,5,STR1N,RST,BT,False,False,Bits,Table,False,OccsR,PickOnDom
9,5,probing,4.016199874997255,5881,ExitStatus.FEASIBLE,100,True,10,STR1,NO,SAC3,False,True,Matrix3D,Tries,True,Vals,Wdeg
No Round,No Stagnation Round,solving,0.9766142919979757,0,ExitStatus.FEASIBLE,10,False,5,V,NO,GT,True,True,Bits,Tries,True,Vals,FrbaOnDom
