round,stagnation_round,phase,runtime,objective,status,bdc,generic2,lc,negative,ng,p,pc1,saf,sc2,sc3,toh,valh,varh
1,1,probing,4.046473499998683,5099,ExitStatus.FEASIBLE,1,True,2,V,RST,AC,True,False,Bits,Matrix3D,False,First,Wdeg
2,2,probing,4.030444582997006,5099,ExitStatus.FEASIBLE,1,True,1,CT,NO,AC,True,False,Bits,TableHybrid,False,First,Memory
3,3,probing,4.014269541003159,,ExitStatus.UNKNOWN,100,True,2,STR1N,RST,AC,False,True,Bits,Matrix3D,False,Conflicts,FrbaOnDom
4,4,probing,4.029342833993724,6137,ExitStatus.FEASIBLE,1000,True,1,V,RST,SAC3,False,False,Table,Matrix2D,False,RunRobin,WdegOnDom
5,5,probing,4.084529957995983,5140,ExitStatus.FEASIBLE,100,False,0,CMDDS,NO,AP,False,True,MDD,Table,True,Last,Memory
6,6,probing,4.044297790998826,5726,ExitStatus.FEASIBLE,100,False,10,CMDDO,NO,AC,True,False,MDD,Bits,True,Rand,Rand
7,7,probing,4.016081333000329,6137,ExitStatus.FEASIBLE,10,False,1,CT,NO,SAC3,True,True,Matrix2D,TableHybrid,True,First,Activity
8,8,probing,4.028072041008272,,ExitStatus.UNKNOWN,1,True,10,V,RST,BT,False,False,MDD,MDD,False,Median,Activity
9,9,probing,1.340263583988417,6390,ExitStatus.FEASIBLE,1000,False,5,STR1,NO,BT,False,False,Tries,TableHybrid,True,First,WdegOnDom
10,10,probing,4.017121708006016,5834,ExitStatus.FEASIBLE,100,True,1,STR2,NO,SAC3,True,True,MDD,Matrix2D,True,Last,WdegOnDom
No Round,No Stagnation Round,solving,17.49993954099773,5099,ExitStatus.OPTIMAL,1,True,1,CT,NO,AC,True,False,Bits,TableHybrid,False,First,Memory
