round,stagnation_round,phase,runtime,objective,status,bdc,generic2,lc,negative,ng,p,pc1,saf,sc2,sc3,toh,valh,varh
1,1,probing,4.044111166003859,5099,ExitStatus.FEASIBLE,1,True,2,V,RST,AC,True,False,Bits,Matrix3D,False,First,Wdeg
2,2,probing,5.057989250009996,5639,ExitStatus.FEASIBLE,10,True,2,STR2,NO,AC,True,False,Matrix3D,Table,True,Last,Lexico
3,3,probing,6.019333082993398,,ExitStatus.UNKNOWN,100,True,5,STR3,NO,GT,True,True,Table,MDD,True,Median,Impact
4,4,probing,7.01947591600765,6026,ExitStatus.FEASIBLE,100,False,1,STR1N,RST,SAC3,False,True,Bits,Bits,True,Last,Rand
5,5,probing,9.016329208010575,,ExitStatus.UNKNOWN,1000,False,5,STR0,NO,AP,True,False,Tries,Bits,True,Conflicts,Activity
6,6,probing,11.033843541998067,5116,ExitStatus.FEASIBLE,100,True,0,STR1N,NO,AP,False,True,MDD,Bits,False,Median,RunRobin
7,7,probing,13.0095823330048,6137,ExitStatus.FEASIBLE,1,True,10,STR3,RST,SAC3,True,False,Tries,Tries,False,Vals,Memory
8,8,probing,14.92527758399956,5100,ExitStatus.OPTIMAL,10,True,10,STR0,NO,AC,False,True,Bits,Tries,False,Median,Memory
9,9,probing,0.8900814590015216,6849,ExitStatus.FEASIBLE,10,True,2,STR0,RST,BT,False,True,MDD,Tries,True,Vals,RunRobin
10,10,probing,24.02771275000123,,ExitStatus.UNKNOWN,1,False,5,CMDDS,NO,AC,True,True,Table,Tries,False,Conflicts,RunRobin
No Round,No Stagnation Round,solving,4.721112792001804,5099,ExitStatus.OPTIMAL,1,True,2,V,RST,AC,True,False,Bits,Matrix3D,False,First,Wdeg
