round,stagnation_round,phase,runtime,objective,status,bdc,generic2,lc,negative,ng,p,pc1,saf,sc2,sc3,toh,valh,varh
1,1,probing,4.048341000001528,5099,ExitStatus.FEASIBLE,1,True,2,V,RST,AC,True,False,Bits,Matrix3D,False,First,Wdeg
2,2,probing,4.026638165989425,,ExitStatus.UNKNOWN,100,False,10,STR0,NO,AP,True,False,Matrix3D,Tries,False,Conflicts,Rand
3,2,probing,4.04169595798885,5099,ExitStatus.FEASIBLE,10,True,10,CMDDO,NO,AP,False,False,Table,Matrix3D,True,Rand,FrbaOnDom
4,3,probing,4.044406457993318,6137,ExitStatus.FEASIBLE,1000,False,1,STR2,NO,AC,False,False,Bits,Matrix3D,False,RunRobin,Impact
5,4,probing,4.0918679169990355,,ExitStatus.UNKNOWN,100,True,5,CT,RST,GT,True,False,Tries,MDD,False,OccsR,Activity
6,5,probing,3.25846383300086,6940,ExitStatus.FEASIBLE,1000,True,10,STR2N,RST,BT,True,False,Tries,MDD,False,Vals,FrbaOnDom
7,6,probing,0.825952375002089,6038,ExitStatus.FEASIBLE,1000,False,1,CMDDS,RST,BT,False,True,Bits,Matrix3D,True,Rand,PickOnDom
8,7,probing,4.062546457993449,5437,ExitStatus.FEASIBLE,10,False,1,STR3,NO,AP,False,True,MDD,Bits,True,Rand,WdegOnDom
9,8,probing,4.013128834005329,6137,ExitStatus.FEASIBLE,100,False,5,CT,NO,SAC3,True,False,MDD,Matrix2D,False,Median,Wdeg
10,9,probing,4.017836041006376,,ExitStatus.UNKNOWN,1000,False,0,STR1,NO,BT,False,True,Matrix2D,Bits,True,Last,Memory
11,10,probing,1.3711206250009127,7630,ExitStatus.FEASIBLE,1,False,1,CMDDO,RST,BT,True,False,MDD,TableHybrid,True,Last,FrbaOnDom
12,11,probing,4.016829000000143,6641,ExitStatus.FEASIBLE,100,False,2,CMDDS,RST,SAC3,True,True,Table,Table,True,Rand,Wdeg
13,12,probing,4.043857709009899,6070,ExitStatus.FEASIBLE,1000,True,1,STR3,NO,AP,False,True,Matrix3D,Matrix2D,False,Median,Activity
14,2,probing,4.041485958994599,5099,ExitStatus.FEASIBLE,1,True,5,STR0,NO,AC,True,True,Bits,Table,False,Last,FrbaOnDom
15,3,probing,4.015731750012492,6643,ExitStatus.FEASIBLE,1,True,0,STR1N,RST,SAC3,True,True,Matrix3D,Tries,True,Vals,RunRobin
16,4,probing,4.013867333007511,5880,ExitStatus.FEASIBLE,1000,False,0,CMDDS,RST,SAC3,True,False,Matrix3D,MDD,True,Last,RunRobin
No Round,No Stagnation Round,solving,8.407457541994518,5099,ExitStatus.OPTIMAL,1,True,5,STR0,NO,AC,True,True,Bits,Table,False,Last,FrbaOnDom
