round,stagnation_round,phase,runtime,objective,status,bdc,generic2,lc,negative,ng,p,pc1,saf,sc2,sc3,toh,valh,varh
1,1,probing,1.042693875002442,5610,ExitStatus.FEASIBLE,1,True,2,V,RST,AC,True,False,Bits,Matrix3D,False,First,Wdeg
2,2,probing,1.029171749993111,,ExitStatus.UNKNOWN,1000,True,10,STR1N,RST,AC,True,False,Matrix3D,Tries,False,Conflicts,Wdeg
3,3,probing,0.6479418750095647,7016,ExitStatus.FEASIBLE,100,True,2,STR3,RST,GT,True,False,Table,Matrix3D,False,Rand,WdegOnDom
4,4,probing,1.0272640000039246,6137,ExitStatus.FEASIBLE,100,False,1,CMDDO,NO,SAC3,False,False,TableHybrid,Matrix2D,True,First,WdegOnDom
5,5,probing,1.0229668329993729,5686,ExitStatus.FEASIBLE,100,False,10,STR1N,RST,AC,False,True,Matrix2D,Matrix3D,False,Vals,FrbaOnDom
No Round,No Stagnation Round,solving,4.883278541994514,5099,ExitStatus.OPTIMAL,1,True,2,V,RST,AC,True,False,Bits,Matrix3D,False,First,Wdeg
