round,stagnation_round,phase,runtime,objective,status,bdc,generic2,lc,negative,ng,p,pc1,saf,sc2,sc3,toh,valh,varh
1,1,probing,1.044483791993116,5610,ExitStatus.FEASIBLE,1,True,2,V,RST,AC,True,False,Bits,Matrix3D,False,First,Wdeg
2,2,probing,1.0364393750060117,5684,ExitStatus.FEASIBLE,100,True,1,CMDDS,RST,AC,False,False,Tries,Table,True,Vals,PickOnDom
3,3,probing,1.0385672499978682,,ExitStatus.UNKNOWN,100,False,2,CT,NO,BT,True,True,Matrix3D,Matrix2D,False,RunRobin,Activity
4,4,probing,1.0409584580047522,6672,ExitStatus.FEASIBLE,1000,True,10,VA,NO,AP,False,False,Matrix3D,Bits,False,OccsR,Rand
5,5,probing,1.0186477909883251,,ExitStatus.UNKNOWN,10,True,1,STR3,RST,BT,False,True,TableHybrid,Matrix3D,False,Last,Activity
6,6,probing,1.0167622919980204,,ExitStatus.UNKNOWN,1,True,0,CT,NO,AC,False,True,TableHybrid,Table,False,Conflicts,Memory
7,7,probing,1.0300485420011682,6137,ExitStatus.FEASIBLE,100,True,2,VA,RST,SAC3,True,True,Table,Table,False,Vals,Memory
8,8,probing,1.0327892919885926,,ExitStatus.UNKNOWN,1,False,10,CT,RST,GT,True,True,TableHybrid,Table,True,First,Impact
9,9,probing,1.040358041995205,5834,ExitStatus.FEASIBLE,1000,True,1,STR1N,RST,SAC3,False,False,Tries,Matrix2D,True,Median,Memory
10,10,probing,1.0292810419923626,5900,ExitStatus.FEASIBLE,100,False,0,CMDDO,NO,AC,True,False,Table,TableHybrid,False,RunRobin,Lexico
11,11,probing,0.889094500002102,6814,ExitStatus.FEASIBLE,10,False,2,CMDDS,RST,BT,False,False,MDD,Tries,False,First,RunRobin
12,12,probing,1.0472270000027493,6142,ExitStatus.FEASIBLE,1000,True,0,STR2,NO,AC,False,False,TableHybrid,Bits,True,First,Wdeg
13,13,probing,1.0358324580010958,,ExitStatus.UNKNOWN,1000,True,2,CMDDS,NO,AP,True,True,Table,MDD,False,First,Activity
14,1,probing,1.0323720409942325,5548,ExitStatus.FEASIBLE,1,False,0,V,NO,AC,True,True,MDD,Table,True,Vals,Rand
15,2,probing,1.031646625007852,6126,ExitStatus.FEASIBLE,10,True,1,STR2N,NO,SAC3,False,False,Table,Tries,True,Median,FrbaOnDom
16,3,probing,1.0411389589862665,5899,ExitStatus.FEASIBLE,10,False,0,VA,NO,AP,False,True,Tries,Table,False,OccsR,Activity
17,4,probing,1.0439390829997137,6064,ExitStatus.FEASIBLE,1,False,10,VA,RST,AP,True,True,Tries,Matrix3D,True,OccsR,Rand
18,5,probing,1.0470192079956178,5868,ExitStatus.FEASIBLE,100,True,10,STR2N,RST,AP,False,False,Tries,TableHybrid,False,Median,Lexico
19,6,probing,1.0299773330043536,5881,ExitStatus.FEASIBLE,100,False,5,VA,RST,SAC3,False,True,Matrix2D,MDD,True,First,Wdeg
20,7,probing,1.0506627910071984,6137,ExitStatus.FEASIBLE,1000,False,2,STR2N,RST,AC,True,True,Tries,Matrix2D,False,First,Lexico
21,8,probing,1.026349541003583,,ExitStatus.UNKNOWN,100,False,0,STR1N,NO,SAC3,False,False,Matrix3D,TableHybrid,False,Vals,Activity
22,9,probing,1.0391207499924349,5658,ExitStatus.FEASIBLE,1,True,1,STR2,RST,AC,True,True,Tries,MDD,True,RunRobin,Rand
23,10,probing,0.7317387079965556,8768,ExitStatus.FEASIBLE,10,True,5,V,RST,GT,False,False,TableHybrid,Matrix3D,True,Median,RunRobin
24,11,probing,1.015651292007533,,ExitStatus.UNKNOWN,1,False,5,STR1,RST,AC,True,True,Table,Bits,False,Conflicts,Lexico
25,12,probing,1.0455557910026982,6162,ExitStatus.FEASIBLE,1000,False,1,V,NO,AP,True,False,TableHybrid,TableHybrid,True,Last,Rand
26,13,probing,1.0229086250037653,6136,ExitStatus.FEASIBLE,10,True,2,STR2,RST,SAC3,False,True,Bits,Matrix2D,False,Rand,Impact
27,14,probing,1.0165474579989677,,ExitStatus.UNKNOWN,1000,False,0,CMDDO,RST,AC,False,True,Matrix2D,TableHybrid,True,Conflicts,WdegOnDom
28,15,probing,1.1010125419998076,6123,ExitStatus.FEASIBLE,1000,False,1,V,RST,AC,True,True,Matrix2D,Bits,False,RunRobin,FrbaOnDom
29,16,probing,1.0119373750058003,,ExitStatus.UNKNOWN,1,True,1,VA,RST,AC,True,False,Tries,Matrix3D,False,Conflicts,WdegOnDom
30,17,probing,0.7391422080108896,7127,ExitStatus.FEASIBLE,100,False,1,VA,NO,GT,False,True,Table,Matrix3D,True,OccsR,Wdeg
31,18,probing,1.0136572920018807,,ExitStatus.UNKNOWN,10,False,5,STR1,NO,BT,False,True,Bits,Tries,False,Rand,Memory
32,19,probing,1.0392491669917945,5719,ExitStatus.FEASIBLE,1000,False,1,STR2,NO,AC,True,True,Matrix3D,MDD,True,OccsR,Wdeg
33,20,probing,1.0143728750117589,5719,ExitStatus.FEASIBLE,10,True,10,STR2N,RST,SAC3,True,False,Tries,TableHybrid,False,Vals,FrbaOnDom
No Round,No Stagnation Round,solving,265.0284316670004,5099,ExitStatus.FEASIBLE,1,False,0,V,NO,AC,True,True,MDD,Table,True,Vals,Rand
