round,stagnation_round,phase,runtime,objective,status,bdc,generic2,lc,negative,ng,p,pc1,saf,sc2,sc3,toh,valh,varh
1,1,probing,4.046815749999951,5099,ExitStatus.FEASIBLE,1,True,2,V,RST,AC,True,False,Bits,Matrix3D,False,First,Wdeg
2,2,probing,4.048869083009777,5437,ExitStatus.FEASIBLE,1,True,10,STR2N,NO,AC,True,False,MDD,Tries,False,Rand,FrbaOnDom
3,3,probing,1.8671106669935398,6483,ExitStatus.FEASIBLE,100,False,1,V,RST,BT,True,True,Matrix2D,Matrix3D,True,First,Wdeg
4,4,probing,9.015950584012899,6093,ExitStatus.FEASIBLE,1,False,0,CT,RST,SAC3,False,False,Matrix3D,Matrix3D,True,Rand,FrbaOnDom
5,5,probing,4.013479792003636,,ExitStatus.UNKNOWN,100,True,5,CMDDS,RST,AC,False,True,MDD,Bits,False,Conflicts,FrbaOnDom
6,6,probing,4.018821208999725,,ExitStatus.UNKNOWN,100,True,1,STR2,NO,BT,True,True,MDD,Bits,True,First,Rand
7,7,probing,9.029181874997448,,ExitStatus.UNKNOWN,1000,True,1,CMDDO,RST,AC,True,False,MDD,TableHybrid,True,Conflicts,Lexico
8,8,probing,1.1608115830022143,8768,ExitStatus.FEASIBLE,1000,False,10,STR3,NO,GT,True,True,Matrix2D,TableHybrid,True,Median,Wdeg
9,9,probing,2.175774540999555,5983,ExitStatus.OPTIMAL,1000,False,1,STR0,RST,AP,False,False,Matrix3D,Matrix2D,True,Last,FrbaOnDom
10,10,probing,4.0403188329946715,5873,ExitStatus.FEASIBLE,1,False,1,STR1,NO,AP,True,False,Tries,Table,False,RunRobin,Impact
11,11,probing,0.6287240410019876,13572,ExitStatus.FEASIBLE,1000,False,5,STR1,RST,GT,True,True,Table,Tries,False,Last,WdegOnDom
12,12,probing,4.041257500008214,5475,ExitStatus.FEASIBLE,100,False,0,STR1N,RST,AP,False,True,Bits,Bits,False,Median,PickOnDom
13,2,probing,4.031251332999091,5099,ExitStatus.FEASIBLE,10,False,1,STR2N,RST,AC,True,True,Matrix2D,Matrix3D,True,Last,Memory
14,3,probing,9.013095208996674,,ExitStatus.UNKNOWN,1000,True,0,STR3,RST,GT,True,False,Matrix2D,MDD,False,RunRobin,Impact
15,4,probing,19.025325458002044,5810,ExitStatus.FEASIBLE,100,True,5,STR0,NO,AC,False,False,Bits,Table,False,First,Activity
16,5,probing,39.01377033400058,,ExitStatus.UNKNOWN,1000,True,10,STR1N,NO,AP,True,True,TableHybrid,TableHybrid,False,Conflicts,Memory
17,6,probing,4.034750417005853,5534,ExitStatus.FEASIBLE,100,False,2,CMDDS,RST,AC,False,True,Table,Matrix3D,True,Median,Rand
18,7,probing,0.7937492080091033,7092,ExitStatus.FEASIBLE,1,False,2,CMDDS,NO,BT,False,True,Tries,TableHybrid,False,First,WdegOnDom
19,8,probing,1.2315596669941442,5232,ExitStatus.OPTIMAL,1000,True,1,VA,RST,AP,True,False,TableHybrid,Matrix3D,False,Median,Wdeg
20,9,probing,4.027996207994875,,ExitStatus.UNKNOWN,100,True,0,CMDDS,RST,AC,True,True,TableHybrid,TableHybrid,True,Conflicts,WdegOnDom
21,10,probing,4.0377041659958195,5124,ExitStatus.FEASIBLE,100,False,10,CT,NO,AC,True,False,MDD,Tries,False,First,Memory
22,11,probing,9.011351209002896,5849,ExitStatus.FEASIBLE,1,False,5,STR0,NO,SAC3,True,False,Bits,TableHybrid,True,Vals,Rand
23,12,probing,0.6079324590100441,13572,ExitStatus.FEASIBLE,1,True,0,VA,NO,GT,False,False,Matrix2D,Bits,True,Last,FrbaOnDom
24,13,probing,4.011433583000326,,ExitStatus.UNKNOWN,1000,False,0,VA,RST,BT,True,True,Matrix3D,Matrix2D,False,Last,Memory
25,14,probing,4.027285500007565,,ExitStatus.UNKNOWN,1,True,0,CT,RST,GT,False,True,Table,Bits,True,Conflicts,Impact
26,15,probing,9.01463325000077,6641,ExitStatus.FEASIBLE,1,True,2,CMDDS,NO,SAC3,True,False,MDD,Matrix2D,True,Rand,Wdeg
27,16,probing,4.037445082998602,5734,ExitStatus.FEASIBLE,1000,True,5,STR3,NO,AC,True,True,Tries,TableHybrid,False,OccsR,PickOnDom
28,17,probing,3.8314492079953197,5611,ExitStatus.FEASIBLE,1000,False,10,STR2,NO,BT,True,True,TableHybrid,Table,True,Last,FrbaOnDom
29,18,probing,0.8482368340046378,13572,ExitStatus.FEASIBLE,100,False,10,STR1,NO,GT,True,True,Matrix3D,Matrix2D,True,Last,WdegOnDom
30,19,probing,19.03072633400734,,ExitStatus.UNKNOWN,1000,False,5,STR3,NO,GT,True,False,Matrix2D,Tries,True,Conflicts,Activity
31,20,probing,39.0139313749969,,ExitStatus.UNKNOWN,10,False,2,STR2N,RST,BT,True,False,Table,MDD,True,Median,Lexico
No Round,No Stagnation Round,solving,8.359712207995472,5099,ExitStatus.OPTIMAL,10,False,1,STR2N,RST,AC,True,True,Matrix2D,Matrix3D,True,Last,Memory
