round,stagnation_round,phase,runtime,objective,status,bdc,generic2,lc,negative,ng,p,pc1,saf,sc2,sc3,toh,valh,varh
46,16,probing,1.0148388329980662,,ExitStatus.UNKNOWN,100,False,10,STR0,RST,GT,True,True,Matrix3D,Tries,True,Rand,Rand
47,17,probing,1.075092915998539,5641,ExitStatus.FEASIBLE,10,False,10,V,NO,AP,True,False,Matrix3D,Bits,True,Last,Activity
48,18,probing,1.187008374996367,5438,ExitStatus.FEASIBLE,10,True,1,CT,RST,AP,True,False,Bits,Tries,False,Median,FrbaOnDom
49,19,probing,1.010114832999534,,ExitStatus.UNKNOWN,10,False,1,STR1N,RST,SAC3,False,False,Matrix3D,Bits,False,Conflicts,Lexico
50,20,probing,1.0279836659901775,6180,ExitStatus.FEASIBLE,10,True,1,STR2N,RST,SAC3,True,True,Matrix2D,MDD,True,Median,Impact
51,21,probing,1.0144392919901293,,ExitStatus.UNKNOWN,10,True,2,CMDDS,NO,GT,True,False,TableHybrid,Tries,False,Median,Activity
52,22,probing,1.0256409589928808,,ExitStatus.UNKNOWN,100,False,10,STR2,RST,GT,True,False,TableHybrid,Table,False,First,Lexico
53,23,probing,1.027043042005971,6137,ExitStatus.FEASIBLE,1,False,2,STR0,NO,SAC3,False,False,TableHybrid,Tries,False,First,Impact
54,24,probing,1.0373855000070762,5623,ExitStatus.FEASIBLE,100,False,5,STR2N,NO,AC,False,False,TableHybrid,TableHybrid,False,Median,WdegOnDom
55,25,probing,1.0403510839969385,5437,ExitStatus.FEASIBLE,1,False,5,STR0,RST,AP,False,True,Tries,Bits,False,Rand,WdegOnDom
56,26,probing,1.014997875012341,,ExitStatus.UNKNOWN,1000,False,10,VA,RST,AC,True,True,Tries,Tries,False,Conflicts,Lexico
57,27,probing,1.0455891660094494,5704,ExitStatus.FEASIBLE,100,False,0,STR2N,NO,AP,False,False,Matrix3D,Matrix2D,True,RunRobin,Wdeg
58,28,probing,1.027269250000245,,ExitStatus.UNKNOWN,10,True,2,CMDDO,RST,BT,False,True,Matrix2D,TableHybrid,True,First,FrbaOnDom
No Round,No Stagnation Round,solving,0.6821450419956818,4770,ExitStatus.FEASIBLE,1,False,0,STR3,RST,BT,True,True,Table,Tries,True,RunRobin,RunRobin
